Date_Time_1,subjectsID,Group,Energy_Balance,actual_allmeters,actual_allmeters_cumsum,actual_foodupa,actual_pedmeters,actual_pedmeters_cumsum,actual_waterupa,bodymass,kcal_hr,locomotor_activity,rq,vco2,vh2o,vo2,xbreak,ybreak
2021-07-28 18:00:00,5,Group_2,-0.4718673,2.4621516666666667,4.699467,0.0,1.7856203333333334,3.3891961733333336,0.06225147,22.20327,0.4718673,383.6666666666667,0.9019665,86.16728,10.242912,95.55094,92.33333333333331,291.3333333333333
2021-07-28 18:00:00,6,Group_3,-0.4884017999999999,3.31748,12.238934666666667,0.0,2.308453333333334,9.210516000000002,0.2128403199999999,25.01599333333333,0.4884017999999999,463.3333333333333,0.9252241333333332,91.09516,8.234338,98.36352,152.0,311.3333333333333
2021-07-28 18:00:00,7,Control,-0.1913660258666666,0.8173606666666666,3.483026,0.5544452223999999,0.6273049999999999,2.415256333333333,0.0,24.01205333333333,0.3761811,88.33333333333333,0.8926265666666667,68.04294,6.434651,76.35768,19.33333333333333,69.0
2021-07-28 18:00:00,8,Group_3,-0.1297137573333333,0.5984066666666669,8.261932666666667,0.820264228,0.3731800000000002,6.705334,0.0,22.46253,0.4031351666666666,86.66666666666667,0.8341573666666667,69.1622,7.394494000000001,82.88296,33.333333333333336,53.333333333333336
2021-07-28 18:00:00,9,Group_2,-0.2922813466666666,3.507478666666667,9.148860666666668,0.5181882600000001,2.7606866666666665,6.765984,0.04763797,25.148776666666667,0.4650107666666667,578.6666666666666,0.8556815666666666,81.30608,8.614742000000001,95.1754,298.3333333333333,280.3333333333333
2021-07-28 19:00:00,1,Control,-0.3068790146666667,4.4432166666666655,12.234788933333332,0.6358875559999998,3.5458866666666657,9.155028066666668,0.1966255,25.10232,0.5188415333333333,722.3333333333334,0.8687513,91.9208,11.421214,105.85566,329.3333333333333,393.0
2021-07-28 19:00:00,10,Control,-0.0894157239999999,0.8118126666666665,5.0128026666666665,0.9364893280000002,0.6024436666666665,3.870786333333333,0.1093731,22.734266666666667,0.4015788333333334,89.33333333333333,0.9628618,76.99572,9.828544,80.28966000000001,27.0,62.333333333333336
2021-07-28 19:00:00,11,Group_3,-0.3279585666666667,1.2288133333333338,7.125635333333333,0.0,1.0282566666666668,6.205876666666667,0.0,21.400366666666667,0.3279585666666667,145.0,0.8609658666666666,57.779082,7.263176,67.00202,64.66666666666667,80.33333333333333
2021-07-28 19:00:00,12,Group_2,-0.3464014666666666,4.834763333333332,22.37317333333333,0.0,4.263256666666668,20.26752,0.0054672589999999,23.82572,0.3464014666666666,546.6666666666666,0.7434175000000001,53.93771999999999,8.475362,72.7598,201.33333333333331,345.3333333333333
2021-07-28 19:00:00,13,Control,-0.2506367199999999,1.1879400000000004,6.9341740000000005,0.5641585400000002,1.0256896666666666,5.537617999999999,0.1245839,25.463106666666665,0.4386895666666666,97.33333333333331,0.8958067333333334,79.76308,10.060006,88.9296,3.333333333333333,94.0
2021-07-28 19:00:00,14,Group_3,-0.2282173986666666,1.6820933333333332,8.421723333333333,0.627301904,1.4572566666666666,7.248586666666667,0.0,23.143780000000003,0.4373180333333333,288.6666666666667,0.9164787,80.75984,8.382582,88.30185999999999,121.0,167.66666666666666
2021-07-28 19:00:00,15,Group_3,-0.001527156,0.6737166666666662,17.195232,1.089243232,0.3277866666666658,13.977474666666666,0.0,25.42318,0.3646082333333333,158.33333333333334,0.9476132,69.24758,9.352248,73.0831,31.0,127.33333333333331
2021-07-28 19:00:00,16,Group_2,-0.4413239,4.84232,15.787029999999998,0.0,3.334093333333334,11.752084666666669,0.1224809,24.58661333333333,0.4413239,653.6666666666666,0.7484742666666667,69.15944,10.96107,92.57384,200.33333333333331,453.3333333333333
2021-07-28 19:00:00,2,Group_3,-0.3275835200000001,4.595463333333334,9.249551066666667,0.5909208399999998,3.412754333333333,6.40434,0.20037845,24.841520000000003,0.5245571333333333,595.3333333333334,0.9230706,97.57296,15.551152,105.71974,163.33333333333334,432.0
2021-07-28 19:00:00,3,Group_2,-0.4504664666666667,2.9906000000000006,23.020322,0.0,2.3273966666666674,18.639008,0.0317543999999999,26.48994,0.4504664666666667,257.0,0.7361398333333332,69.91780800000001,19.888818,94.6809,59.0,198.0
2021-07-28 19:00:00,4,Control,-0.1533508106666666,0.995696,6.927154,0.828003668,0.5032856666666667,4.524385666666666,0.0,25.096913333333333,0.4293520333333333,177.0,0.8740022333333334,76.4749,12.247786,87.48308000000002,54.66666666666666,122.33333333333331
2021-07-28 19:00:00,5,Group_2,-0.4713595,3.43629,8.135757,0.0,2.68531,6.074506173333333,0.0191389,22.034136666666665,0.4713595,366.3333333333333,0.8973463666666667,85.78434,11.894298,95.52956,81.33333333333333,285.0
2021-07-28 19:00:00,6,Group_3,-0.385579996,4.194946666666667,16.433881333333332,0.268344612,3.0149133333333324,12.225429333333334,0.0958149,24.960316666666667,0.4750281999999999,633.0,0.9341616,88.97841999999999,9.30101,95.56408,199.33333333333331,433.6666666666667
2021-07-28 19:00:00,7,Control,-0.1099098026666666,0.7637626666666669,4.246788666666667,0.909787192,0.5512549999999999,2.966511333333333,0.0704040639999999,24.071246666666667,0.4131722,171.33333333333334,0.9105912666666668,76.09338000000001,7.2180234,83.48462,48.0,123.33333333333331
2021-07-28 19:00:00,8,Group_3,-0.2005019413333332,4.856743333333333,13.118676,0.8579229760000001,4.26425,10.969584,0.2445078,21.880333333333336,0.4864762666666666,630.0,0.8618224666666666,85.54948,9.26551,99.43124,246.0,384.0
2021-07-28 19:00:00,9,Group_2,-0.4796111666666666,5.536313333333332,14.685174,0.0,4.383273333333333,11.149257333333331,0.03976346,24.79421333333333,0.4796111666666666,725.0,0.7531486333333334,75.74728,12.042926,100.44016,388.3333333333333,336.6666666666667
2021-07-28 20:00:00,1,Control,-0.3932749119999999,2.123086666666668,14.3578756,0.2031759640000002,1.5188200000000005,10.673848066666666,0.0390619999999999,24.61904,0.4610002333333333,187.0,0.8859542333333333,83.12452,9.086462,93.64742,73.33333333333333,113.66666666666669
2021-07-28 20:00:00,10,Control,-0.0869033359999999,2.1465366666666665,7.1593393333333335,1.175647992,1.7870623333333338,5.657848666666667,0.274991,22.916996666666662,0.478786,263.6666666666667,0.9642442333333332,92.18568,8.176636,95.6175,79.66666666666667,184.0
2021-07-28 20:00:00,11,Group_3,-0.395555,2.6299566666666663,9.755592,0.0,2.314179999999999,8.520056666666665,0.0,21.197133333333333,0.395555,342.0,0.8917073333333333,71.52300000000001,6.494222,80.297,163.66666666666666,178.33333333333334
2021-07-28 20:00:00,12,Group_2,-0.1253501610666667,4.051393333333334,26.424566666666664,0.7754918167999999,3.490796666666666,23.758316666666666,0.289459,23.495763333333333,0.3838474333333333,408.6666666666667,0.8568519666666666,67.172118,7.746298,78.54734,142.0,266.6666666666667
2021-07-28 20:00:00,13,Control,-0.0070817573333333,3.1652133333333325,10.099387333333333,1.511892128,2.5696366666666663,8.107254666666666,0.5765982000000001,25.58385333333333,0.5110457999999999,262.6666666666667,0.9085429,93.87510000000002,9.435404,103.32908000000002,0.0,262.6666666666667
2021-07-28 20:00:00,14,Group_3,-0.5296264666666667,8.32439,16.746113333333334,0.0,7.541176666666665,14.789763333333331,0.0108033999999999,23.102106666666668,0.5296264666666667,804.0,0.7946033666666666,87.14605999999999,8.215944,109.93224,376.0,428.0
2021-07-28 20:00:00,15,Group_3,-0.4909767666666667,9.021683333333334,26.216915333333333,0.0,7.57097,21.548444666666665,0.19421337,25.43045333333333,0.4909767666666667,970.3333333333334,0.9086973,90.31278000000002,9.396674,99.23646,220.33333333333331,750.0
2021-07-28 20:00:00,16,Group_2,-0.4359117333333333,3.4108533333333333,19.19788333333333,0.0,2.322353333333333,14.074438,0.2225116999999999,24.54726666666667,0.4359117333333333,524.0,0.8380500666666667,74.51523999999999,9.494474000000002,89.69749999999999,142.0,382.0
2021-07-28 20:00:00,2,Group_3,-0.5394117,5.229113333333333,14.4786644,0.0,4.154996666666666,10.559336666666669,0.0224833999999999,24.24552333333333,0.5394117,656.0,0.9321841,101.03994,13.693082,108.51598,188.0,468.0
2021-07-28 20:00:00,3,Group_2,-0.5939760000000001,3.9212433333333343,26.941565333333333,0.0,2.981266666666668,21.620274666666667,0.4225369,26.485723333333336,0.5939760000000001,560.3333333333334,0.8514586666666667,103.70542,17.78241,121.61322,130.66666666666666,429.6666666666667
2021-07-28 20:00:00,4,Control,-0.2296850146666666,2.19707,9.124224,0.739777256,1.3265476666666665,5.850933333333333,0.02716684,25.074753333333334,0.4762774333333333,380.6666666666667,0.9225234666666666,88.48671999999999,9.73908,96.01906,137.0,243.66666666666663
2021-07-28 20:00:00,5,Group_2,-0.277001528,1.5982899999999998,9.734047,0.4593507159999998,1.1295633333333337,7.2040695066666665,0.0226883999999999,22.478446666666667,0.4301184333333334,164.0,0.9210232666666668,80.0209,9.3329,86.68239999999999,42.66666666666666,121.33333333333331
2021-07-28 20:00:00,6,Group_3,-0.5330444,10.170889999999998,26.60477133333333,0.0,8.33256,20.55798933333333,0.0103974,24.599926666666665,0.5330444,1185.3333333333333,0.8419135,91.86158,9.519962,109.47614,432.3333333333333,753.0
2021-07-28 20:00:00,7,Control,-0.0189952746666666,3.6019253333333325,7.848713999999999,1.308298576,2.791376,5.757887333333333,0.04962155,24.383596666666666,0.4550948000000001,345.6666666666667,0.9397771666666668,85.8584,6.5202114,91.38174,106.66666666666669,239.0
2021-07-28 20:00:00,8,Group_3,-0.4206633666666666,9.1385,22.257176,0.0,8.344029999999998,19.313614,0.0050956,22.88071,0.4206633666666666,657.6666666666666,0.7794652000000001,68.245316,7.211852,87.58794,280.3333333333333,377.3333333333333
2021-07-28 20:00:00,9,Group_2,-0.4111106666666666,3.0513333333333343,17.736507333333336,0.0,2.3583266666666667,13.507584,0.66226227,24.752246666666668,0.4111106666666666,276.3333333333333,0.8054107666666667,67.90488800000001,10.831001999999998,85.25954,124.33333333333331,152.0
2021-07-28 21:00:00,1,Control,-0.104050164,2.1032233333333323,16.461098933333332,1.149281208,1.570096666666667,12.243944733333333,0.1472924,24.717413333333337,0.4871439,298.3333333333333,0.8917066666666668,88.36380000000001,11.225996,98.81084,129.66666666666666,168.66666666666666
2021-07-28 21:00:00,10,Control,-0.08104092,2.1760566666666663,9.335396,1.03859084,1.717926666666667,7.375775333333334,0.2997636999999999,23.069626666666665,0.4272378666666667,207.66666666666663,0.9760570333333334,83.0074,10.443292,85.11334,67.0,140.66666666666666
